Participants,Signal,Tags
1,1,"weak,calming,beach,pulsating,not massively put me up or down,friend,white noise,not distressing,pleasant"
1,2,"not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,robotic,pleasant,a bit more familiar"
1,3,"stronger,excited,satisfied,nice,pleasing,Tvs,static,not natural,technological,alien,TV thing,massage"
1,4,"not feeling,nearly there,rhythm"
1,5,"regular,not super strong,pulse,first,direct,regular,not distressed,fancy alarm clock,gentle vibrations"
1,6,"urgent,alarm,not gently woken up,8:15,fire alarm,important,actions afoot,soothing,nice,different,alarm,not familiar,tactile sensation,alarms"
1,7,"heartbeat,heart beating,sprinklers watering system,regular,soft,not fluffy,indirect,Someone else's alarm is going off"
1,8,"regular,not intense,slower,not as fast,harsh,strong,alarm,bad happening,calm phone ringing,not unpleasant,nice intensity,struggling to feel it,in your face,pulsating,pleasant,nice"
1,9,"rhythmic,not sharp,soft,constant,not flowing,oppression,oppressive,unnerving,novel,downstairs neighbor,washing machine,can't hear,can't feel Indirect"
1,10,"empty"
1,11,"not feeling,not getting"
1,12,"train,horse,excited,not relaxing,jogging,rhythmic,pulsating,up-beat,not alarming"
1,13,"train,settling,soothing,train,not passive,direct,not involved,satisfied,positive,game,remote controller,gamer,stressful bits happening,remote shakes,doing well,not in any danger"
1,14,"strong,shaving,electric razor,vibrations,constant,pulse,steady,fast,urgent,techno,club,hard,faster,pleasing,soft,shaving,techno,sensation,fast,bass line,techno,rhythmic,constant,fast,not relaxing,stressful,not relaxing,end of giving a presentation,going well,out of the woods,high-pressure situation,not nice,not relaxing"
1,15,"printer,big printer,big scanner,copier,pages,printing,rhythm,satisfied,mundane,menial tasks,laundry,boredom,satisfaction,rhythmic,fast,taxi,passenger,falling into the tray"
1,16,"nice and slow,not strong,bored,tempo,not aggressive pulse,distressed,bored,unpleasant,personal printer from the early 2000s,take four minutes to print a sheet,long time,boring,background noise,background sensation,funny"
2,1,"creaky,seesaw,run fingers,knife-edge,not excited,blunt kitchen knife,rugged edge,not dominant,neutral,associated with sawing,slightly uncomfortable"
2,2,"balloon,down the balloon,squeaky,numb,distressed,satisfied"
2,3,"interchangeable,waiting,smooth,hits the glass,vibration,finger on the glass,fingerprint button on an iPhone,quiet,quiet"
2,4,"fingerprint button,unlock an iPhone,five times stronger,alarm clock"
2,5,"smooth,water,not excited,boring,not much,not distressed,satisfied,not dominant"
2,6,"smoother,icing sugar,really soft,nice pen,smooth pen"
2,7,"scratchy,rubber,rubber boots,rubbery,touching something rubbery,uncomfortable,distressed,not excited,not satisfied"
2,8,"rubbing a balloon,lesser scale,familiar,tiring"
2,9,"agitated,smooth,stronger vibrations,chalk on a blackboard,unpredictable,nervous"
2,10,"stronger,electric shock,operating table,organs,tools,shock,satisfied,excited,dominant"
2,11,"heart beating,consistent,rhythmic,calming,clock,smooth,constant,subtle vibrations"
2,12,"Ved Siden Af,nightclub,frantic,intense,scary,bomb,strong,pulsing,sore"
2,13,"pencil,scratchy,scratchy,not nice,smooth,wooden,wood,splint,uncomfortable"
2,14,"dramatic music,bad bit,being chased,low to high,loop,lights,science museums,globe,light,finger,move the light"
2,15,"frog croaking,scary,low,vibrations,faster,chased,intense,dominating,rough"
2,16,"not like,sandpaper,frustrating,want to wear it down,annoying,sandpaper,paper,cardboard"
3,1,"annoyed,sweaty,sticking,irritating,wet,window of a car,mirror,damp mirror,trying to do something,sticky"
3,2,"happy,not depressed,benign,braille,limited knowledge,not electric,tingly,tingly,buzzing"
3,3,"staccato,musical term,staccato,anxious,not benign"
3,4,"constant friction,difficult,Resistance,restrictions,irksome"
3,5,"discreet,attentive,periodical,small buzz,no obstruction,sticker glue,annoying"
3,6,"stronger,zing,staccato,fast staccato buzz"
3,7,"resistance,jagged,irksome,annoying,frustrating,comes and goes,resistant,snow on grass,don't know what's underneath,step in a hole,stumbling"
3,8,"sticker,sticky stuff,little buzz,polishing,squeaky clean,squeaking noise,resistance,constant"
3,9,"constant,sludgy,sweaty,annoying,supposed to be sensing,can't make its mind up,not much on finger"
3,10,"resistant,forceful,aggressive,Sporadically,aggressive,stuck in the mud"
3,11,"motor,tiny little motor,buzz,buzzing,bee,buzzing,Excitement,cutesy,satisfied,little dog,barking,dangerous,cute"
3,12,"intrusive,aggressive,aggressive,sticker,aggressive,sticker,obstruction"
3,13,"vibrator,not very powerful,funny,slightly exciting,buzz of excitement,not bored,in my head,exciting,mysterious,anxious"
3,14,"vibrator,switch,dramatic,vibrator,engine,unstable,finger,engine,sputtering,old-school,coming to life,engine,not comfortable,anxious"
3,15,"toughest,vibrator,audio,standing on the deck,surprised,vibration,distressed,dominant,stressing out"
3,16,"gentle,not sure,friendly,not stressful,kind,gentle,purring kitten,not anxious,chill,recommend,not necessarily,relieved,relief"
4,1,"static,rub a balloon on your head,static,prickly,small,bamboo woods,tiny little things"
4,2,"not completely smooth,wall,painted over,not sandpaper,something between,you,smooth,wall,painted furniture,chalkboard,no emotions,scratch,sound,on my nails"
4,3,"whiteboard,erase,window,clean,frustrated,smoother,dirt,smooth,tugged,oil,grease,tiny,little thing,speck,dirt"
4,4,"farts,similar,last one,resistance,dirt,dirty,cleaning a whiteboard,cleaning a window,gross,not really gross,dirty,Sticky,crazy"
4,5,"vibrations,tiny,tiny,bristles,toothbrush,dirty,bumps,soft,hard,thin,touching,toothbrush,fun"
4,6,"vibrating,wooden,friction,good speed,run it around,slower,harder,friction,not as smooth as glass,relatively smooth,surface,table,dinner table"
4,7,"not uniform,get caught,dirty,glass,stuck,rubbing,flying,stuck,yucky,wash my hands"
4,8,"think,friction,small,different surface,dusty,diagonally,crazy,cleaning a window,windshield wipers"
4,9,"sometimes,relatively smooth,table,IKEA desk table,slight amount of friction,neutral,fresh,clean,not glass"
4,10,"light rumbling,tummy growling,stomach growling,dog,cat,fuzzy onomatopoeia,petting a bee,buzzy,vibration,rumbling"
4,11,"glass,shaver,shaving,mowing,shaver,electric toothbrush,glass,smooth,hairs,pushing"
4,12,"dirty,not super sticky,dragged,friction,pushing,kid's iPad,spilled juice,pushing back,blowing"
4,13,"mechanical vibration,machine,Rumbling from within,tingles,rumble,little tingle,warm,concerned,running machine,not what I was expecting"
4,14,"lightly shocked,electric fence,electric current,laser tag,shoot somebody,be shot,rumbles,not hurt,neutral"
4,15,"smooth,ice rink,friction,messed up,some vibration,light vibration,small,snow ice pieces,smooth,soft"
4,16,"arcade game,pulsing,spaceship games,shooting,avoid the missiles,shooting back,stressed,something's coming up"
5,1,"small friction,fast,touching something with friction,no signals,no action required,small vibration,difficult,peeled an orange,slight friction,juices of the orange,no difference,no change in mood"
5,2,"friction,plastic,small dots,small rivets,steady,constant,working against,trying to make slow down,difficult,moving my finger,resistance,running a finger on the side of a matchbox,nimble small dots,physically stopping in my tracks"
5,3,"soft,lines,not bring attention to itself,soft,runny,cool,not cold,coolness,skiing"
5,4,"sporadic,stopping,forces pushing,pushing back,force exerted in the other direction,waves,constant,stop,direction,stubbornness,stubborn,want to push against it,something with a thought behind this,something want to do something"
5,5,"draggy,dragging,holding back,not pushing,pulling emotion,running away,holding you back,arms around your waist,pulled,glass,squeaking,music,glass"
5,6,"ice cream,soft,comforting,touch,pointy,waves,small outbursts,jumpy,pushy,jumping,stop,go,jumpy,barrier"
5,7,"electric pulse,small electric outlet,tingly,felt before,electrical,therapeutic stuff,massage,massage chair"
5,8,"periodic,alert,small alarm clock,electrical,pointy,alarm clock,alarm clock going off in the morning,telling me to be alert,be aware,danger ahead,stop doing,something important"
5,9,"insisting,stop,pushy,physical,object,surface,be aware,stop moving a finger,driving a car,slow down,stop"
5,10,"friction,tingly,electrical current,weak electrical fence,tingling,not trying to tell me anything,constant,there all the time,no feelings,not reminding anything,electric fence,small voltage,excitement,not an action,gather up the courage to do,not specific action,electrical fence"
5,11,"electrical saw,round saw,spinning,pulsating,heartbeat,pulse,electrical,shocks,communication"
5,12,"squeaky,not communication,sound of washing window,pulsating,not communication,a part of the surface,cleaning kitchen,running cloth,dirty area stops in its tracks,cleaning kitchen counter"
5,13,"spitting,yellow,purple,color,plastic,jigsaw puzzles,playset,infrared lights,alarm system,electrical things as a child"
5,14,"periodic,waves,stop,stop,stop,stop,half-hearted,strong,emphatic,insisting,not giving it all"
5,15,"jets,jacuzzi,spa,water jets,massaging,calmness,relaxation,relaxed,swimming pool,leisurely,relaxing,sauna"
5,16,"annoying,holding me back,in the way,biking across cobblestone,stopping,an inconvenience,slow down,take it easy,stop,get away,get worse,slowing down,electrical,physical,hard surface,forceful,force,finger is skipping over stuff,running over stuff,jumping up and down,friction,finger jump up and down"
6,1,"hard,friction,little hills,glass getting stuck,finger,fingerprint,uncomfortable,spilled,spill,sticky,wipe it away,nasty,wants my finger to get stuck on the glass,gross sound"
6,2,"worse,slide,creaking,vibration,faster,electricity balls,centers,electrical buzzing,bee,beehive,motor running,not good"
6,3,"same motor,electrical,game,glass,touchscreen,goal reached,not nasty buzz,doing something,drawing,paintbrush,rusty paintbrush,not in a bad way,sense of accomplishment,brush,brushing,painting a picture,brush on fingers"
6,4,"slower,deeper,not as pleasant,something wrong,dark,negative feelings,sinister,game,bad happens,lower,bass"
6,5,"running,stumble,hills,stops,intervals,lagging,not nice,pissed off,Irritating,neurotic,prompt,impulsive,impatient,do something properly"
6,6,"smooth,hits,sea,calm sea,dormant,not right,starting up,passive,Shaver,confuses my finger,not still,not constantly buzzing,not want to feel"
6,7,"disruptive,nothing,restrictive,not in a good way,annoying,oppressing,holds you back,doesn't slide,disrupts,smooth,slide,slow ddownown,hurrying,somebody is like,no,don't go,pulls you back from your clothes"
6,8,"passive,quiet,don't like,someone who lives with their five cats,low,annoying,buzz,hard,not even detect,buzz,finger against the glass,coarse,grainy,sliding my finger across some small grains,dropped salt,eights in that with my finger"
6,9,"barely noticeable,not something you would meet,sweat on it or something,stiky,grease,disruptive,lagging,ordering at the McDonald's,impatient"
6,10,"low,something in the background,touching,tiny motor,not too vibrating,pain,tooth pain,background,aching,vibrating,stable,confident,leader,stable,confident,stabilizing,calming,doesn't change,continue,turn it off"
6,11,"sticky,jam,playing around,oppressive,can't move,stop,sticky,telling me I should clean,restart,not correct"
6,12,"alive,good to touch,action,not disruptive,not too much in your face,positive,success,working,not negative,error,lack,continuous,not disruptive,positive,kitchen appliances,batteries,hairdryer,mixer,cringe,less"
6,13,"sticky,restricting,no pattern,takes you by surprise,false idea,stops your finger,not good,startling,tricked,boundaries,box,random places,3-D imagery"
6,14,"purring cat,action,results,drawing shapes,good feeling,not a disruption,prolonged,art,fun,creative,fun,creative,Colorful,fun,nice"
6,15,"pumping out,steady purring,steady hum,weird outbursts,interrupting,not in control,Amazon workplace,pumping out packages,not consistent,movement,illusion,nothing"
6,16,"brushing,searching,hairy,tracing,pattern,landscape,texture,hair,old grandma,grandpa,newspapers,TV,radio,cat,purrs,nice cat,nature-wise,patterns,landscapes,materials,textures,whole ornaments,different colors,different textures,touching,game for kids,blind person,face"
7,1,"turgid,slimy,thick,sweaty,resistant,pulsing,not welcome,hard zone,stuck in the mud,Frustrated,Slow,Sludgy"
7,2,"undulating,trailing,primary fuzz,trails,sparkles,sparkly,crackling of sparks,Mystical,depth,Deep voice,Charming guy,Wonder,Deep thought,Introspection,Slowness,Calm"
7,3,"sweaty,lighter,thinner,string of droplets,tiny string of droplets,Drumming my fingers,pecking,small bird,small bird,Millipede marchig around,tiny millipede,erotic excitement,shiver,Buzzy,Anxious,Light,Indeterminate,Flattery"
7,4,"deeper,deeper,glass,strange rhythm,pulse,heartbeat,buzz,app,buzzing sound of a base outside of a club,surfaces,complexity,produced by a human,variance"
7,5,"small balls,lottery,balls,champagne,party,bubbliness,smooth surfaces,metal pin,face,pins,randomly come into contact"
7,6,"marching band drummer,paradiddle,fun,rhythmic,funny,posh,silly,flippant,floats around,entertained"
