Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
clock,present,mysterious,oceanic,rhythmical,active,playground,safe,mild,musical,spa,communicational,steady,cool
passenger,assured,hotness,hardy,staccato,patient,beach,quiet,benign,artistic,pillow,unaggressive,neutral,sweet
machine,confident,buzz,billowy,energetic,not urgent,,comfortable,obstructive,creative,massage,stimulative,stable,silly
radio,not anxious,profound,,euphoric,subordinate,,vigilant,,,soothing,elate,consistent,funny
lottery,interesting,abrupt,,excitable,determination,,clean,,,,,constant,cute
electric,kind,sudden,,impatient,notification,,calm,,,,,,
flying,success,startling,,playful,affirmative,,friendly,,,,,,
horse,leader,climactic,,,substitute,,attentive,,,,,,
,continue,excitement,,,urgent,,discreet,,,,,,
,working,,,,receiving,,easy,,,,,,
,bore,,,,directive,,charming,,,,,,
,good,,,,,,leisurely,,,,,,
,not distressing,,,,,,pleasant,,,,,,
,exciting,,,,,,,,,,,,
,not feeling,,,,,,,,,,,,
,alive,,,,,,,,,,,,
,entertained,,,,,,,,,,,,
,familiar,,,,,,,,,,,,
,ongoing,,,,,,,,,,,,
,surprised,,,,,,,,,,,,
,tender,,,,,,,,,,,,
,standing,,,,,,,,,,,,
,happy,,,,,,,,,,,,
,satisfied,,,,,,,,,,,,
,important,,,,,,,,,,,,
,not sticky,,,,,,,,,,,,
