Participants,Signal,Tags,filtered_tags,phrases
1,1,"weak,calming,beach,pulsating,not massively put me up or down,friend,white noise,not distressing,pleasant","weak,calming,beach,pulsating,friend,not distressing,pleasant","not massively put me up or down,white noise"
1,2,"not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,robotic,pleasant,a bit more familiar","robotic,pleasant","not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,a bit more familiar"
1,3,"stronger,excited,satisfied,nice,pleasing,Tvs,static,not natural,technological,alien,TV thing,massage","stronger,excited,satisfied,nice,pleasing,Tvs,static,not natural,technological,alien,massage",TV thing
1,4,"not feeling,nearly there,rhythm","not feeling,rhythm",nearly there
1,5,"regular,not super strong,pulse,first,direct,regular,not distressed,fancy alarm clock,gentle vibrations","regular,pulse,first,direct,regular,not distressed","not super strong,fancy alarm clock,gentle vibrations"
1,6,"urgent,alarm,not gently woken up,8:15,fire alarm,important,actions afoot,soothing,nice,different,alarm,not familiar,tactile sensation,alarms","urgent,alarm,important,soothing,nice,different,alarm,not familiar,alarms","not gently woken up,8:15,fire alarm,actions afoot,tactile sensation"
1,7,"heartbeat,heart beating,sprinklers watering system,regular,soft,not fluffy,indirect,Someone else's alarm is going off","heartbeat,regular,soft,not fluffy,indirect","heart beating,sprinklers watering system,Someone else's alarm is going off"
1,8,"regular,not intense,slower,not as fast,harsh,strong,alarm,bad happening,calm phone ringing,not unpleasant,nice intensity,struggling to feel it,in your face,pulsating,pleasant,nice","regular,not intense,slower,harsh,strong,alarm,not unpleasant,pulsating,pleasant,nice","not as fast,bad happening,calm phone ringing,nice intensity,struggling to feel it,in your face"
1,9,"rhythmic,not sharp,soft,constant,not flowing,oppression,oppressive,unnerving,novel,downstairs neighbor,washing machine,can't hear,can't feel Indirect","rhythmic,not sharp,soft,constant,not flowing,oppression,oppressive,unnerving,novel","downstairs neighbor,washing machine,can't hear,can't feel Indirect"
1,10,empty,empty,
1,11,"not feeling,not getting","not feeling,not getting",
1,12,"train,horse,excited,not relaxing,jogging,rhythmic,pulsating,up-beat,not alarming","train,horse,excited,not relaxing,jogging,rhythmic,pulsating,not alarming",up-beat
1,13,"train,settling,soothing,train,not passive,direct,not involved,satisfied,positive,game,remote controller,gamer,stressful bits happening,remote shakes,doing well,not in any danger","train,settling,soothing,train,not passive,direct,not involved,satisfied,positive,game,gamer","remote controller,stressful bits happening,remote shakes,doing well,not in any danger"
1,14,"strong,shaving,electric razor,vibrations,constant,pulse,steady,fast,urgent,techno,club,hard,faster,pleasing,soft,shaving,techno,sensation,fast,bass line,techno,rhythmic,constant,fast,not relaxing,stressful,not relaxing,end of giving a presentation,going well,out of the woods,high-pressure situation,not nice,not relaxing","strong,shaving,vibrations,constant,pulse,steady,fast,urgent,techno,club,hard,faster,pleasing,soft,shaving,techno,sensation,fast,techno,rhythmic,constant,fast,not relaxing,stressful,not relaxing,not nice,not relaxing","electric razor,bass line,end of giving a presentation,going well,out of the woods,high-pressure situation"
1,15,"printer,big printer,big scanner,copier,pages,printing,rhythm,satisfied,mundane,menial tasks,laundry,boredom,satisfaction,rhythmic,fast,taxi,passenger,falling into the tray","printer,copier,pages,printing,rhythm,satisfied,mundane,laundry,boredom,satisfaction,rhythmic,fast,taxi,passenger","big printer,big scanner,menial tasks,falling into the tray"
